Year,Month,Country,Model,Segment,Engine Type,Active Dealership Count,Gdp_Growth_Percent,Interest_Rate_Percent,Competition By Rivarly Index,Model Units Sold,Price_INR,Marketing_Spend_INR,Fuel_Price_INR
2016,8,Brazil,i7,SUV,Electric,289,8.26,6.25,4,1004,5089306.55,16771833.42,59.68
2019,9,Brazil,i7,Electric,Petrol,198,4.04,5.15,5,544,3678811.22,14751863.28,72.96
2015,6,UK,X1,SUV,Petrol,356,8,6.75,1,751,5643596.25,10295369.35,60.49
2024,11,Brazil,7 Series,Sedan,Hybrid,359,6.8,6.5,1,1061,4838412.8,41173516.8,94.77
2020,7,China,3 Series,Sedan,Diesel,323,5.83,4,2,954,4492312.5,36513886.5,79.76
2023,1,Germany,5 Series,SUV,Hybrid,137,8.2,6.5,8,673,6601471.5,25486634.19,96.72
2015,5,France,i4,SUV,Electric,16,8,6.75,7,15,5863053.4,3948368.35,60.49
2024,5,China,3 Series,Sedan,Hybrid,56,6.8,6.5,10,107,4021139.2,6301484.8,94.77
2017,10,France,i4,SUV,Hybrid,62,6.8,6,9,523,6442126.24,21707947.36,63.09
2021,4,India,X7,Sedan,Electric,196,9.05,4,5,782,8849628.48,11609209.92,99.86
2018,6,France,i4,SUV,Hybrid,47,6.53,6.5,2,397,6703177.46,4453283.24,75.55
2023,7,Germany,X5,SUV,Petrol,235,8.2,6.5,7,773,6138749.22,5783615.65,96.72
2017,9,Germany,i7,SUV,Diesel,62,6.8,6,8,179,6864364.32,30576640.16,63.09
2019,1,Brazil,7 Series,Sedan,Hybrid,233,4.04,5.15,7,652,6301040.76,6035627.78,72.96
2017,6,Japan,iX,SUV,Electric,163,6.8,6,7,389,3077180.48,23167156.32,63.09
2021,7,India,X1,Sedan,Diesel,57,9.05,4,5,213,6707057.28,15373659.84,99.86
2019,3,USA,X5,Sedan,Electric,360,4.04,5.15,2,945,4480190.82,17863793.5,72.96
2023,8,Australia,i4,SUV,Diesel,156,8.2,6.5,6,705,9201683.37,23050819.19,96.72
2021,5,France,X3,SUV,Diesel,73,9.05,4,4,368,5996464.32,31927748.16,99.86
2016,9,Japan,7 Series,Sedan,Hybrid,358,8.26,6.25,10,743,7822125.42,23856682.97,59.68
2018,5,Brazil,X5,Sedan,Petrol,191,6.53,6.5,2,805,6510522.83,27059529.35,75.55
2023,9,UK,X1,Electric,Hybrid,134,8.2,6.5,9,380,9873472.89,22229660.54,96.72
2016,10,USA,i7,Sedan,Electric,188,8.26,6.25,7,543,5202588.89,16093214.42,59.68
2024,4,Canada,7 Series,Electric,Electric,48,6.8,6.5,6,429,3314438.4,19427200,94.77
2023,9,Japan,X1,Electric,Diesel,269,8.2,6.5,5,661,9756718.91,40550952.7,96.72
2024,5,UK,X7,Electric,Diesel,391,6.8,6.5,3,1001,8838502.4,26506771.2,94.77
2019,10,India,X7,SUV,Petrol,12,4.04,5.15,10,413,5914857.48,3908239.58,72.96
2016,9,Brazil,X1,SUV,Hybrid,73,8.26,6.25,10,396,7664968.01,5982664.79,59.68
2018,3,USA,X5,Sedan,Electric,38,6.53,6.5,4,225,3256389.85,23489161.01,75.55
2021,4,USA,7 Series,Electric,Diesel,381,9.05,4,3,992,2695566.72,13480864.32,99.86
2022,9,USA,X5,SUV,Petrol,20,7.24,6.25,8,476,5169600.6,34006290,105.41
2017,10,India,5 Series,SUV,Electric,106,6.8,6,3,357,7741856.32,12116617.92,63.09
2015,11,France,i4,SUV,Diesel,367,8,6.75,7,1145,6473440.65,17736576.9,60.49
2018,6,Canada,5 Series,SUV,Electric,212,6.53,6.5,7,679,3812468.94,17934251.65,75.55
2016,2,India,X7,SUV,Petrol,30,8.26,6.25,7,184,6432703.41,20683164.89,59.68
2022,7,Australia,i7,Electric,Petrol,48,7.24,6.25,7,205,8517803.4,35425413,105.41
2018,2,Canada,3 Series,Electric,Electric,232,6.53,6.5,2,534,2523112.27,27615266.49,75.55
2016,11,Germany,i4,Electric,Hybrid,111,8.26,6.25,10,578,4405849.87,23146887.81,59.68
2020,2,Brazil,X7,Electric,Electric,55,5.83,4,3,292,5622263.4,28598820.9,79.76
2020,11,India,X5,Sedan,Diesel,75,5.83,4,10,495,8326024.2,28195865.1,79.76
2024,1,UK,X5,Electric,Hybrid,100,6.8,6.5,9,576,5688134.4,35114560,94.77
2018,11,Canada,X5,SUV,Diesel,173,6.53,6.5,3,534,3843449.61,29377129.67,75.55
2020,11,Australia,i7,Electric,Electric,120,5.83,4,2,453,8101204.8,28861875.9,79.76
2016,12,Germany,5 Series,Sedan,Hybrid,347,8.26,6.25,9,1070,6230125.56,11168321.8,59.68
2024,11,France,3 Series,SUV,Diesel,132,6.8,6.5,10,348,5940896,22582227.2,94.77
2016,3,UK,X5,Electric,Electric,202,8.26,6.25,9,651,3425950.91,26830109.23,59.68
2024,6,Canada,iX,Electric,Electric,108,6.8,6.5,4,307,5319059.2,26136448,94.77
2018,8,Brazil,i4,Electric,Hybrid,300,6.53,6.5,9,951,3028993.1,20590245.69,75.55
2022,9,UK,7 Series,SUV,Electric,168,7.24,6.25,3,393,5766646.2,28023336.6,105.41
2021,7,Germany,iX,SUV,Petrol,112,9.05,4,7,453,8491781.76,3924338.88,99.86
2023,4,UK,3 Series,Sedan,Diesel,394,8.2,6.5,7,1190,9452696.17,33933875.47,96.72
2022,6,China,i7,SUV,Diesel,290,7.24,6.25,8,847,8748022.8,26158315.8,105.41
2019,5,Japan,3 Series,SUV,Electric,52,4.04,5.15,10,117,4586665.86,25162615.24,72.96
2016,8,France,7 Series,Electric,Electric,93,8.26,6.25,4,518,4169273.88,9807388.35,59.68
2019,1,Germany,i4,SUV,Petrol,200,4.04,5.15,3,610,5314949.5,9243892.56,72.96
2022,1,UK,7 Series,Electric,Hybrid,60,7.24,6.25,3,260,9248547.6,31218819.6,105.41
2024,11,Japan,X1,Electric,Electric,395,6.8,6.5,5,1115,7708979.2,34828768,94.77
2023,6,Japan,i4,SUV,Electric,219,8.2,6.5,1,677,3272496.81,20790960.86,96.72
2023,10,UK,3 Series,Sedan,Electric,135,8.2,6.5,10,370,4318741.28,31562795.35,96.72
2015,12,Brazil,X5,Sedan,Electric,78,8,6.75,3,532,5231175.9,18417657.45,60.49
2023,2,China,3 Series,SUV,Diesel,274,8.2,6.5,6,691,3468600.56,24337837.78,96.72
2021,5,India,3 Series,Sedan,Electric,267,9.05,4,3,899,6156870.72,15939887.04,99.86
2023,1,China,i4,Electric,Diesel,197,8.2,6.5,5,605,5152780.85,34066648.03,96.72
2022,7,UK,X1,Electric,Electric,239,7.24,6.25,9,474,5610939.6,10944421.2,105.41
2015,1,France,3 Series,SUV,Hybrid,198,8,6.75,2,706,3581302.05,27286074.2,60.49
2022,4,India,iX,Sedan,Petrol,19,7.24,6.25,2,272,5347944,16030941.6,105.41
2022,9,Germany,X7,Sedan,Hybrid,123,7.24,6.25,6,531,7494824.4,25886359.8,105.41
2017,1,China,X3,Electric,Electric,85,6.8,6,6,586,7393920.16,7165674.56,63.09
2015,4,UK,X3,SUV,Electric,173,8,6.75,8,667,3410021.55,6914471.9,60.49
2022,6,China,3 Series,Sedan,Electric,94,7.24,6.25,2,559,5526759,33151908,105.41
2017,6,India,iX,SUV,Hybrid,58,6.8,6,9,502,4619091.84,18627055.04,63.09
2017,12,Australia,X5,Sedan,Electric,335,6.8,6,2,822,3657399.68,23536842.56,63.09
2015,8,Canada,i7,Electric,Hybrid,186,8,6.75,1,564,3169908.1,16620431.05,60.49
2019,1,China,i7,Electric,Diesel,396,4.04,5.15,10,1066,3473607.34,15157905,72.96
2024,7,Germany,i4,SUV,Petrol,398,6.8,6.5,2,871,2990707.2,37929299.2,94.77
2021,1,Germany,X3,Electric,Petrol,227,9.05,4,7,592,3673306.56,23113157.76,99.86
2024,7,USA,3 Series,Sedan,Hybrid,198,6.8,6.5,8,508,5178451.2,33610470.4,94.77
2023,3,China,i7,Electric,Diesel,355,8.2,6.5,5,1177,4173087.8,28757149.32,96.72
2021,11,Canada,3 Series,SUV,Hybrid,239,9.05,4,6,630,7928289.6,31627706.88,99.86
2023,8,Brazil,i4,SUV,Diesel,264,8.2,6.5,1,845,8236935.49,28755332.78,96.72
2022,3,Japan,X3,SUV,Electric,245,7.24,6.25,6,880,5989555.8,18850323.6,105.41
2016,1,Canada,7 Series,Sedan,Diesel,35,8.26,6.25,8,100,4036842.39,25244895.56,59.68
2015,8,Japan,X7,Sedan,Diesel,81,8,6.75,3,451,6213633.15,29873692.75,60.49
2021,3,Japan,X7,Sedan,Diesel,270,9.05,4,1,944,3426192,27805747.2,99.86
2021,2,Australia,i7,Sedan,Petrol,263,9.05,4,4,705,6690647.04,7113543.36,99.86
2022,1,USA,X7,Sedan,Diesel,280,7.24,6.25,1,947,7216187.4,34741750.2,105.41
2019,3,Canada,7 Series,Electric,Electric,132,4.04,5.15,8,658,5480929.44,17448667.6,72.96
2017,2,Canada,3 Series,Sedan,Electric,153,6.8,6,5,532,4126589.28,17876872.64,63.09
2022,2,Australia,i4,Sedan,Electric,266,7.24,6.25,1,904,5244820.8,12286044.6,105.41
2020,6,China,7 Series,Electric,Diesel,153,5.83,4,8,728,3895881.6,6254706.9,79.76
2017,12,China,i4,Sedan,Hybrid,268,6.8,6,9,709,4167745.12,19290562.72,63.09
2015,1,China,i4,SUV,Hybrid,56,8,6.75,10,368,7594333.6,29671941,60.49
2017,2,France,X3,Sedan,Electric,360,6.8,6,2,1007,2304596.8,29431244.48,63.09
2019,6,Japan,3 Series,Sedan,Petrol,22,4.04,5.15,9,193,5664303.12,23675063.16,72.96
2017,3,France,iX,SUV,Hybrid,385,6.8,6,8,874,3032573.28,5190650.08,63.09
2015,4,USA,X7,SUV,Diesel,217,8,6.75,7,622,3081060.35,10220442.15,60.49
2019,1,Australia,iX,SUV,Hybrid,320,4.04,5.15,3,1049,4048445.8,3546562.46,72.96
2024,8,Canada,X3,SUV,Electric,244,6.8,6.5,2,857,6728800,26832166.4,94.77
2021,7,Japan,i4,Sedan,Petrol,158,9.05,4,7,426,3020888.64,33002027.52,99.86
2021,7,France,i7,SUV,Hybrid,331,9.05,4,5,1055,8561414.4,7073330.88,99.86
2023,3,France,X7,SUV,Hybrid,164,8.2,6.5,6,742,3643070.97,25933585.6,96.72
2024,10,UK,X7,Electric,Electric,175,6.8,6.5,4,686,3040044.8,35311411.2,94.77
2024,10,France,3 Series,SUV,Petrol,99,6.8,6.5,2,299,4328646.4,11737356.8,94.77
2017,3,Brazil,X1,SUV,Petrol,195,6.8,6,9,716,7112992.48,14654409.44,63.09
2021,2,Canada,5 Series,Electric,Electric,327,9.05,4,3,906,3246640.32,19116155.52,99.86
2015,12,Brazil,5 Series,Electric,Diesel,367,8,6.75,7,1038,5480655.25,3264080.3,60.49
2018,1,Canada,5 Series,Sedan,Hybrid,183,6.53,6.5,8,421,3098750.9,31694661.6,75.55
2018,7,Australia,X1,Electric,Diesel,226,6.53,6.5,2,551,6768216.35,28544002.69,75.55
2019,7,Canada,3 Series,Sedan,Hybrid,273,4.04,5.15,6,941,7388607.24,21465565.24,72.96
2021,12,Brazil,X1,Electric,Hybrid,106,9.05,4,8,626,8710658.88,12999940.8,99.86
2021,2,Canada,5 Series,Electric,Diesel,126,9.05,4,7,632,3492128.64,12843230.4,99.86
2018,7,Australia,X3,Sedan,Electric,208,6.53,6.5,3,837,3005535.33,32419663.99,75.55
2021,8,Australia,7 Series,Electric,Electric,329,9.05,4,1,749,7869966.72,5831179.2,99.86
2017,1,USA,i4,Sedan,Hybrid,30,6.8,6,6,373,6304657.92,14399855.36,63.09
2020,9,Canada,X1,Electric,Electric,209,5.83,4,8,753,6208468.5,33079647.9,79.76
2016,7,UK,3 Series,SUV,Hybrid,380,8.26,6.25,6,1169,2385715.33,16213820.47,59.68
2024,3,China,3 Series,Electric,Electric,350,6.8,6.5,5,780,8484070.4,37062272,94.77
2023,8,Germany,iX,Sedan,Hybrid,257,8.2,6.5,8,756,5131808.07,33892177.62,96.72
2019,7,Australia,7 Series,Electric,Electric,285,4.04,5.15,2,848,3282839.56,26813330.46,72.96
2020,11,India,i7,Sedan,Petrol,273,5.83,4,1,911,8098092.6,5304374.4,79.76
2018,8,China,X7,Sedan,Diesel,67,6.53,6.5,1,530,3496233.58,21930279.35,75.55
2024,6,Japan,5 Series,SUV,Petrol,311,6.8,6.5,4,989,3523852.8,19226604.8,94.77
2021,9,Canada,i7,SUV,Diesel,40,9.05,4,6,203,4877167.68,25553035.2,99.86
2023,5,Brazil,iX,Sedan,Diesel,258,8.2,6.5,9,685,9444026.32,6528231.91,96.72
2021,3,Germany,5 Series,Electric,Hybrid,102,9.05,4,1,408,6488254.08,8890210.56,99.86
2015,3,India,7 Series,Sedan,Diesel,274,8,6.75,1,762,2568373.55,19649529.9,60.49
2015,1,China,iX,Sedan,Petrol,280,8,6.75,5,941,4082056.95,11304384.7,60.49
2023,12,Canada,5 Series,Electric,Petrol,103,8.2,6.5,10,425,4912502.15,35533999.5,96.72
2023,8,USA,7 Series,Electric,Electric,163,8.2,6.5,5,596,8219843.5,22634583.82,96.72
2018,2,Japan,X5,Electric,Petrol,294,6.53,6.5,5,769,7959501.76,15089227.65,75.55
2023,3,Germany,i7,Electric,Electric,89,8.2,6.5,10,543,5902351.31,18233437.68,96.72
2017,8,UK,i7,Sedan,Diesel,301,6.8,6,6,997,7057249.76,17992981.6,63.09
2021,8,USA,X7,Sedan,Petrol,93,9.05,4,8,357,5105580.48,32952279.36,99.86
2020,11,India,7 Series,SUV,Diesel,374,5.83,4,3,1043,3139617,34036871.7,79.76
2022,4,Germany,X1,Sedan,Petrol,383,7.24,6.25,9,849,8406034.2,34968354,105.41
2023,4,USA,X5,Electric,Petrol,46,8.2,6.5,1,122,6121161.81,10437756.27,96.72
2019,5,Japan,X3,SUV,Electric,351,4.04,5.15,4,916,2513430.64,11258467.92,72.96
2015,6,UK,5 Series,Electric,Diesel,336,8,6.75,9,882,4100852.9,15919014.95,60.49
2017,5,USA,X5,Sedan,Petrol,241,6.8,6,8,472,7097038.08,13689005.44,63.09
2024,7,France,7 Series,SUV,Hybrid,102,6.8,6.5,10,448,6522048,15841196.8,94.77
2022,2,UK,i4,Electric,Diesel,345,7.24,6.25,9,956,6649009.8,5763816.6,105.41
2020,7,India,5 Series,SUV,Diesel,111,5.83,4,1,628,8196126.9,5409596.4,79.76
2022,10,Japan,3 Series,SUV,Diesel,175,7.24,6.25,9,806,3160427.4,22671462.6,105.41
2023,7,Canada,i7,Sedan,Electric,168,8.2,6.5,3,465,3429379.81,35619624.59,96.72
2018,1,Brazil,7 Series,Electric,Hybrid,23,6.53,6.5,10,121,2886810.29,31029090.12,75.55
2015,7,Brazil,3 Series,SUV,Diesel,382,8,6.75,9,923,2882067.05,31947533.95,60.49
2015,5,Brazil,X7,SUV,Petrol,234,8,6.75,1,507,7214501.45,15342563.05,60.49
2024,3,Germany,iX,Electric,Petrol,82,6.8,6.5,1,288,4958220.8,38019488,94.77
2018,3,India,X3,SUV,Electric,258,6.53,6.5,9,519,7512778.28,25670938.79,75.55
2021,4,Japan,X3,SUV,Petrol,100,9.05,4,6,527,8331744.96,10278132.48,99.86
2016,12,UK,3 Series,SUV,Diesel,225,8.26,6.25,4,883,7483756.58,21580688.91,59.68
2017,2,Germany,i7,Electric,Petrol,99,6.8,6,7,361,2795796.96,21636771.2,63.09
2015,2,India,X7,Electric,Diesel,38,8,6.75,5,388,4855898.4,4404988.05,60.49
2019,1,Canada,i4,Electric,Petrol,314,4.04,5.15,10,844,7073618.58,27266694.42,72.96
2015,5,France,i7,Electric,Hybrid,229,8,6.75,7,687,6582816.4,7967750.75,60.49
2022,4,Japan,X5,Sedan,Electric,337,7.24,6.25,8,880,3229595.4,6075937.2,105.41
2015,11,Brazil,X3,SUV,Electric,224,8,6.75,8,887,5872804.2,29156110.85,60.49
2015,10,USA,X5,Electric,Hybrid,230,8,6.75,1,788,3921040.45,13600249.05,60.49
2016,2,Japan,5 Series,SUV,Hybrid,398,8.26,6.25,8,1026,2875530.43,8233059.46,59.68
2016,3,Australia,X1,SUV,Electric,51,8.26,6.25,6,347,5712023.47,18505066.66,59.68
2020,7,India,7 Series,Sedan,Hybrid,144,5.83,4,4,386,3211938.6,15760773.6,79.76
2021,7,China,X7,Electric,Diesel,51,9.05,4,8,187,5076234.24,4689484.8,99.86
2019,12,Canada,i7,Electric,Petrol,173,4.04,5.15,3,599,3707824.26,29797870.9,72.96
2015,4,France,X3,SUV,Electric,370,8,6.75,4,815,5424267.4,23007076.75,60.49
2015,5,Canada,X5,Electric,Hybrid,292,8,6.75,6,1044,3922131,28513712.75,60.49
2017,5,Japan,iX,SUV,Diesel,67,6.8,6,7,536,2356302.08,20839181.44,63.09
2016,6,China,5 Series,SUV,Electric,311,8.26,6.25,4,967,4669234.67,14198792.37,59.68
2019,9,Australia,7 Series,Sedan,Hybrid,331,4.04,5.15,4,744,5573602.16,27467532.26,72.96
2024,2,UK,7 Series,Sedan,Electric,34,6.8,6.5,7,341,4979187.2,11192313.6,94.77
2020,5,USA,i7,Sedan,Hybrid,82,5.83,4,6,511,4238149.5,16287254.1,79.76
2021,12,China,X7,SUV,Electric,382,9.05,4,8,790,3001595.52,4859057.28,99.86
2018,3,India,i4,Electric,Diesel,138,6.53,6.5,1,457,2664200.84,15285233.39,75.55
2021,4,Brazil,iX,Sedan,Diesel,96,9.05,4,10,245,3810945.6,16440473.28,99.86
2022,10,Australia,i7,Electric,Petrol,339,7.24,6.25,7,818,4220034,38006322.6,105.41
2015,6,USA,X5,Sedan,Electric,162,8,6.75,7,596,5998153.3,25386977.6,60.49
2020,12,France,X1,Sedan,Petrol,191,5.83,4,7,396,6213210.9,23754755.7,79.76
2022,8,Brazil,3 Series,SUV,Electric,134,7.24,6.25,7,523,4821874.2,14948383.8,105.41
2019,1,Japan,i4,Sedan,Hybrid,76,4.04,5.15,10,419,5919223.52,10843694.12,72.96
2018,10,China,X7,Sedan,Hybrid,15,6.53,6.5,10,173,6760419.89,25707595.83,75.55
2016,8,USA,5 Series,SUV,Petrol,134,8.26,6.25,8,393,7827769.38,11004579.77,59.68
2020,11,Germany,i4,Electric,Electric,323,5.83,4,9,654,8626573.8,19388635.5,79.76
2020,7,UK,X3,Sedan,Petrol,335,5.83,4,9,773,7796135.1,24741619.5,79.76
2015,1,UK,X7,SUV,Diesel,62,8,6.75,2,211,4929927.5,12671228.75,60.49
2023,2,Australia,X1,Sedan,Petrol,75,8.2,6.5,7,375,9375410.65,22039254.12,96.72
2020,3,France,X3,SUV,Petrol,323,5.83,4,7,975,4656666.3,35729834.4,79.76
2017,1,Australia,i4,Electric,Hybrid,91,6.8,6,4,396,6337478.4,13750022.88,63.09
2018,9,Germany,3 Series,Electric,Petrol,96,6.53,6.5,9,500,4431193.27,19809437.06,75.55
2018,8,India,3 Series,SUV,Electric,11,6.53,6.5,8,142,5096149.24,32689804.49,75.55
2017,2,France,X1,SUV,Hybrid,213,6.8,6,1,523,3442047.84,15577745.92,63.09
2024,9,Canada,7 Series,SUV,Petrol,159,6.8,6.5,2,697,4544966.4,30011404.8,94.77
2017,7,India,iX,Electric,Diesel,302,6.8,6,2,941,6305048.64,14793245.28,63.09
2017,9,France,5 Series,Sedan,Petrol,112,6.8,6,8,446,7755857.12,21922452.64,63.09
2018,6,France,7 Series,Electric,Petrol,33,6.53,6.5,1,477,5966890.72,12573569.89,75.55
2021,6,Germany,3 Series,SUV,Petrol,377,9.05,4,4,1008,6711788.16,29492897.28,99.86
2018,11,Japan,3 Series,SUV,Hybrid,221,6.53,6.5,10,781,5410743.24,12435148.53,75.55
2023,4,Germany,X5,Electric,Electric,74,8.2,6.5,5,532,9108957.26,29015675.99,96.72
2015,10,France,X3,SUV,Diesel,218,8,6.75,9,542,4077181.55,26983735.25,60.49
2022,10,USA,i4,Electric,Petrol,260,7.24,6.25,7,796,8357852.4,28864356.6,105.41
2021,2,India,5 Series,SUV,Electric,394,9.05,4,8,1237,8143248.96,35887938.24,99.86
2016,7,Germany,X1,Sedan,Electric,126,8.26,6.25,9,318,7592604.38,6818575.58,59.68
2022,5,Japan,i4,Sedan,Hybrid,125,7.24,6.25,7,592,6100460.4,39148537.8,105.41
2015,11,China,X5,SUV,Diesel,246,8,6.75,5,677,3061238,11097244.35,60.49
2023,6,Australia,3 Series,Electric,Hybrid,114,8.2,6.5,5,551,7646642.56,38033063.12,96.72
2023,2,France,X1,Sedan,Electric,268,8.2,6.5,10,924,8842834.15,29086025.63,96.72
2016,5,Canada,3 Series,Electric,Electric,55,8.26,6.25,6,536,8042239.86,21930345.67,59.68
2021,10,China,5 Series,SUV,Electric,320,9.05,4,5,1099,5240336.64,21751329.6,99.86
2024,4,UK,X3,Electric,Hybrid,340,6.8,6.5,9,894,9338534.4,40771411.2,94.77
2017,9,Brazil,i4,Sedan,Diesel,225,6.8,6,3,665,7332902.72,10442708.32,63.09
2021,6,Japan,i4,Electric,Petrol,310,9.05,4,3,830,2655502.08,24892116.48,99.86
2024,2,Canada,7 Series,Electric,Hybrid,342,6.8,6.5,7,705,7181990.4,29107520,94.77
2023,1,Brazil,X1,SUV,Electric,33,8.2,6.5,7,360,5076238.46,27360890.62,96.72
2018,5,Japan,iX,SUV,Hybrid,44,6.53,6.5,6,152,7252212.38,28120942.15,75.55
2015,9,USA,X5,SUV,Electric,33,8,6.75,3,162,5222964.7,26727969.2,60.49
2016,6,Australia,iX,Sedan,Petrol,37,8.26,6.25,7,411,6532010.23,6123629.41,59.68
2015,10,China,7 Series,Sedan,Petrol,25,8,6.75,5,359,7431520.9,10579553.85,60.49
2019,12,India,5 Series,SUV,Diesel,68,4.04,5.15,7,367,7659020.04,20962414.34,72.96
2019,7,Japan,X5,SUV,Electric,252,4.04,5.15,2,644,3294318.02,24889667.32,72.96
2021,5,India,X3,Sedan,Diesel,216,9.05,4,6,530,2994868.8,20383883.52,99.86
2023,10,Australia,iX,Sedan,Diesel,280,8.2,6.5,8,899,5873451.81,33026513.74,96.72
2023,6,France,X3,Sedan,Petrol,258,8.2,6.5,1,550,9702635.56,15665015.26,96.72
2017,5,UK,iX,Sedan,Hybrid,276,6.8,6,4,903,7289923.52,12673328.8,63.09
2017,11,China,X3,SUV,Hybrid,202,6.8,6,1,860,2871466.4,17944988.16,63.09
2017,9,Australia,iX,Sedan,Diesel,344,6.8,6,1,1012,3612206.4,13275167.84,63.09
2018,6,Australia,X3,SUV,Petrol,227,6.53,6.5,10,538,5343242.31,26706089.83,75.55
2022,11,USA,7 Series,Electric,Electric,124,7.24,6.25,8,516,3421536.6,37305289.2,105.41
2020,8,Brazil,X7,Electric,Hybrid,77,5.83,4,7,407,5338015.8,29724177.6,79.76
2022,2,UK,X5,Sedan,Diesel,308,7.24,6.25,10,925,6105176.4,28576759.2,105.41
2015,12,China,X1,Electric,Hybrid,334,8,6.75,1,1025,7536085.4,4732794.55,60.49
2022,9,France,5 Series,Electric,Hybrid,84,7.24,6.25,2,450,5095716.6,8484005.4,105.41
2018,5,France,i7,Electric,Electric,112,6.53,6.5,4,543,6303779.86,33937990.38,75.55
2015,7,Germany,3 Series,Sedan,Petrol,306,8,6.75,1,999,2968797.85,25569805.1,60.49
2022,10,Australia,X1,Sedan,Electric,187,7.24,6.25,3,811,5755092,37159643.4,105.41
2018,1,Japan,3 Series,Electric,Petrol,224,6.53,6.5,8,685,6538767.9,5029947.72,75.55
2020,10,USA,X5,SUV,Hybrid,324,5.83,4,8,847,6499977.9,35603642.1,79.76
2022,5,UK,X1,Electric,Diesel,48,7.24,6.25,8,209,6920808.6,13798151.4,105.41
2018,12,France,X3,Sedan,Electric,268,6.53,6.5,6,840,7318619.07,33095083.63,75.55
2017,10,China,X3,Sedan,Petrol,213,6.8,6,6,725,5968378.24,32202035.36,63.09
2023,2,Germany,i7,Sedan,Hybrid,16,8.2,6.5,5,344,8300266.68,15506563.43,96.72
2017,12,China,3 Series,Electric,Petrol,58,6.8,6,9,441,7679992.32,18984563.84,63.09
2023,6,USA,5 Series,SUV,Petrol,35,8.2,6.5,4,281,3424177.9,19138817.73,96.72
2016,11,Japan,X5,Sedan,Petrol,170,8.26,6.25,10,625,6893559.62,31958453.17,59.68
2016,1,Germany,X3,Sedan,Hybrid,366,8.26,6.25,7,1104,5160057.62,13287763.16,59.68
2016,3,Germany,X7,Electric,Diesel,185,8.26,6.25,1,540,5944500.87,5484383.75,59.68
2020,5,Brazil,7 Series,SUV,Diesel,88,5.83,4,9,457,4066608,24976294.2,79.76
2017,4,UK,7 Series,Electric,Diesel,11,6.8,6,7,420,5173067.68,31541002.24,63.09
2023,3,Germany,iX,Sedan,Petrol,392,8.2,6.5,10,897,4071361.56,35254912.9,96.72
2018,10,Brazil,5 Series,SUV,Hybrid,141,6.53,6.5,9,529,4792839.59,11276211.59,75.55
2015,5,Brazil,7 Series,SUV,Petrol,285,8,6.75,7,943,7072024.3,31794343.75,60.49
2018,11,USA,iX,Sedan,Diesel,126,6.53,6.5,2,634,5839343.37,22412839.19,75.55
2015,8,India,3 Series,SUV,Diesel,173,8,6.75,6,670,2876293.55,25486730.85,60.49
2019,11,China,X3,SUV,Hybrid,297,4.04,5.15,10,1001,6137173.42,11392265.92,72.96
2018,4,Japan,X3,Electric,Petrol,37,6.53,6.5,4,191,4912043.36,28134962.1,75.55
2022,1,Canada,X7,Sedan,Electric,342,7.24,6.25,3,937,5350537.8,22322085.6,105.41
2022,11,China,X1,Sedan,Electric,10,7.24,6.25,2,471,4818101.4,24195516.6,105.41
2021,7,Germany,7 Series,Sedan,Diesel,197,9.05,4,6,615,6938205.12,19426397.76,99.86
